"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","cards_yellow","cards_red","cards_yellow_red","fouls","fouled","offsides","crosses","interceptions","tackles_won","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"38699c72","2019-2020","ESP","2. Segunda División","5th","Girona",26,0.1,0,0,0,1,1,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL
"38699c72","2020-2021","ESP","1. La Liga","12th","Cádiz",27,16.9,5,0,0,52,37,11,18,3,10,0,0,0,65,57,83,40.7
"38699c72","2021-2022","ESP","1. La Liga","19th","Cádiz",28,10.7,4,0,0,28,27,5,14,3,6,4,0,0,48,26,45,36.6
"3870f7c3","1998-1999","FRA","1. Division 1","13th","Bastia",17,0.8,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3870f7c3","1999-2000","FRA","1. Division 1","10th","Bastia",18,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2000-2001","FRA","1. Division 1","8th","Bastia",19,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2001-2002","FRA","1. Division 1","11th","Bastia",20,30.8,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2002-2003","FRA","1. Ligue 1","12th","Bastia",21,33.3,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2003-2004","FRA","1. Ligue 1","17th","Bastia",22,38,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2004-2005","FRA","1. Ligue 1","19th","Bastia",23,37,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2006-2007","FRA","1. Ligue 1","17th","Valenciennes",25,31,1,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2007-2008","FRA","1. Ligue 1","13th","Valenciennes",26,37,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2008-2009","FRA","1. Ligue 1","12th","Valenciennes",27,37,3,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2009-2010","FRA","1. Ligue 1","10th","Valenciennes",28,19,0,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2010-2011","FRA","1. Ligue 1","12th","Valenciennes",29,38,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3870f7c3","2011-2012","FRA","1. Ligue 1","12th","Valenciennes",30,38,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
