"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","sca","sca_per90","sca_passes_live","sca_passes_dead","sca_dribbles","sca_shots","sca_fouled","sca_defense","gca","gca_per90","gca_passes_live","gca_passes_dead","gca_dribbles","gca_shots","gca_fouled","gca_defense"
"b2d03887","2019-2020","ENG","1. Premier League","14th","Crystal Palace",25,0.1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2d03887","2021-2022","ESP","1. La Liga","3rd","Betis",27,1,1,0.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2d0ec1b","2010-2011","ESP","1. La Liga","1st","Barcelona",23,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2010-2011","ESP","2. Segunda División","3rd","Barcelona B",23,31.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2011-2012","POR","1. Primeira Liga","2nd","Benfica",24,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2012-2013","POR","1. Primeira Liga","2nd","Benfica",25,2.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2012-2013","ESP","1. La Liga","15th","Granada",25,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2013-2014","ESP","1. La Liga","9th","Celta Vigo",26,25.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2014-2015","ESP","1. La Liga","8th","Celta Vigo",27,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2015-2016","ESP","1. La Liga","6th","Celta Vigo",28,27.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2016-2017","ENG","1. Premier League","3rd","Manchester City",29,8.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d0ec1b","2017-2018","ESP","1. La Liga","7th","Sevilla",30,17.8,63,3.54,51,4,4,2,2,0,13,0.73,10,1,1,0,1,0
"b2d0ec1b","2018-2019","ESP","1. La Liga","6th","Sevilla",31,0.8,2,2.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"b2d0ec1b","2019-2020","ESP","1. La Liga","17th","Celta Vigo",32,3.6,15,4.17,11,4,0,0,0,0,2,0.56,2,0,0,0,0,0
"b2d0ec1b","2019-2020","ESP","1. La Liga","4th","Sevilla",32,10,32,3.21,20,2,4,4,1,1,2,0.2,0,0,1,0,1,0
"b2d0ec1b","2020-2021","ESP","1. La Liga","8th","Celta Vigo",33,28.9,71,2.46,50,7,2,4,4,4,13,0.45,10,0,0,1,1,1
"b2d0ec1b","2021-2022","ESP","1. La Liga","14th","Celta Vigo",34,10.2,16,1.57,14,0,0,1,0,1,0,0,0,0,0,0,0,0
"b2d31e83","2009-2010","ENG","4. League Two","24th","Darlington",17,2.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2010-2011","ENG","5. Conf Premier","7th","Darlington",18,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2012-2013","ENG","3. League One","4th","Yeovil Town",20,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2013-2014","ENG","2. Championship","21st","Birmingham City",21,22.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2013-2014","ENG","1. Premier League","19th","Fulham",21,6.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2014-2015","ENG","2. Championship","17th","Fulham",22,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"b2d31e83","2015-2016","ENG","2. Championship","20th","Fulham",23,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
