"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","assists","xa","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"03049c8c","2020-2021","ESP","2. Segunda División","1st","Espanyol",22,19.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"03049c8c","2021-2022","ESP","1. La Liga","11th","Espanyol",23,6.6,278,333,83.5,5357,1235,111,125,88.8,117,133,88,42,59,71.2,1,0.8,0.2,5,32,3,1,28
"0313a347","2016-2017","ENG","3. League One","13th","Charlton Ath",18,28.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0313a347","2017-2018","ENG","3. League One","6th","Charlton Ath",19,32.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0313a347","2018-2019","ENG","2. Championship","11th","Brentford",20,41.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0313a347","2019-2020","ENG","1. Premier League","17th","Aston Villa",21,22.7,674,853,79,13926,4931,226,251,90,327,386,84.7,113,197,57.4,2,0.5,1.5,9,45,5,2,44
"0313a347","2020-2021","ENG","1. Premier League","11th","Aston Villa",22,35.5,1076,1244,86.5,24313,5976,250,284,88,615,658,93.5,202,280,72.1,0,0.2,-0.2,1,38,2,0,36
"0313a347","2021-2022","ENG","1. Premier League","12th","Aston Villa",23,16.5,446,530,84.2,9026,2831,129,146,88.4,251,274,91.6,61,100,61,0,0.2,-0.2,3,18,0,0,19
"032f894e","2015-2016","POR","1. Primeira Liga","1st","Benfica",17,21.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"032f894e","2016-2017","GER","1. Bundesliga","1st","Bayern Munich",18,6.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
